predicted_eigen,actual_eigen,predicted_matmul,actual_matmul
5.948912,5.752060,17.061642,18.683380
6.246706,6.617445,16.975388,16.657967
6.979669,10.559067,16.139481,13.186127
10.423326,16.742447,13.342358,12.108517
15.906898,17.346153,12.230927,11.379122
16.239628,17.051512,11.481131,9.988325
16.082472,15.118819,10.112430,8.247253
14.795856,14.100962,8.481668,6.664835
13.940793,14.389423,6.960795,6.664835
14.194567,14.824177,6.960795,6.071429
14.560223,15.127061,6.364556,6.071429
14.802300,15.668957,6.364556,5.735577
15.208202,16.868134,6.020496,5.760302
15.979645,18.083792,6.045980,5.760302
16.591515,17.772667,6.045980,6.757555
16.450108,14.599588,7.052577,6.757555
14.373936,11.583105,7.052577,10.785715
11.466757,11.739698,10.886158,15.813188
11.627695,9.823489,15.623484,18.236263
9.701102,8.793269,16.832098,17.259617
8.754848,7.977335,16.441767,16.149040
8.064823,6.201236,15.842010,15.905908
6.638052,5.702610,15.685613,16.165524
6.201628,5.513050,15.852275,16.997940
6.024364,5.764423,16.316582,17.000000
6.257905,6.656593,16.317604,17.166897
7.011137,10.633242,16.398483,17.490385
10.497800,17.059753,16.544546,17.263737
16.087004,18.390797,16.443663,17.263737
16.721531,16.501373,16.443663,16.227337
15.762131,15.415523,15.890385,15.067308
15.022778,14.076237,15.073573,13.132555
13.918650,14.634616,13.287990,12.368132
14.403360,15.162088,12.500286,12.959478
14.829602,15.155907,13.111318,12.959478
14.824795,16.542583,13.111318,10.350962
15.787370,17.348215,10.460795,10.350962
16.240694,18.477337,10.460795,10.350962
16.756538,17.840660,10.460795,9.213599
16.481861,14.525413,9.382758,9.213599
14.311175,11.626373,9.382758,7.528159
11.511229,11.362638,7.801530,6.588599
11.240284,10.940248,6.885050,6.102335
10.808424,9.485577,6.395984,5.758242
9.381472,8.968407,6.043858,5.758242
8.909670,6.421703,6.043858,5.863324
6.820839,5.758242,6.151906,5.863324
6.252309,5.649038,6.151906,6.535028
6.152268,5.836538,6.831672,6.535028
6.322695,6.553572,6.831672,8.115385
6.928132,10.093407,8.357964,9.605083
9.962279,16.002747,9.749524,11.313187
15.440470,18.067308,11.414239,11.313187
